"",BingoCPP,Bingo,GpBingo,KeplarBingo,KeplarBingoCPP,Operon,OperonBingo
0,0.6167369261932515,0.567233535709069,0.5783343600053981,0.6260280251787015,0.6222576556111516,0.482115775346756,0.501940131187439
1,0.5815396792464778,0.559742428162326,0.6221630112000851,0.6817780561984075,0.6236098502138949,0.4689972996711731,0.5015098452568054
2,0.5613846411680238,0.581539679246478,0.6156213699802404,0.6730555904402927,0.6647463835226132,0.47811776399612427,0.50739985704422
3,0.5744134798874269,0.641739161319872,0.5506435268615612,0.6260280251787015,0.6932744379777993,0.4706214964389801,0.48735421895980835
4,0.5869121926581142,0.594854903146628,0.622714755687723,0.623609850213895,0.5462968146100785,0.4765649735927582,0.4912700653076172
5,0.5735899992911973,0.623609850213895,0.5147391190386201,0.8059488059670242,0.6260280251787015,0.4805518388748169,0.4987560212612152
6,0.6236098502138949,0.581539679246478,0.5134599223317547,0.5913508598604502,0.6623212050455376,0.4743034839630127,0.49898579716682434
7,0.5850495877431723,0.546296814610079,0.4957927351386332,0.8059488057387166,0.6260280251787013,0.4609031081199646,0.5008771419525146
8,0.561979192872659,0.546296814610079,0.5470146007396891,0.6817780561984075,0.7250101525621422,0.4912572503089905,0.49857038259506226
9,0.5815396792464778,0.559545480451049,0.508500641046137,0.8059488059682202,0.6422298108483352,0.47255438566207886,0.4882957637310028
