"",KeplarBingo,Bingo,Gplearn,KeplarMBingo,Operon,BingoCPP,KeplarBingoCPP,GpBingo
0,24.819151878356934,29.413804292678833,45.13714861869812,28.198630571365356,1.4283454418182373,39.63458037376404,25.198805809020996,109.69078946113586
1,22.018677473068237,25.00842261314392,44.73106503486633,29.94222617149353,1.670511245727539,45.257673501968384,29.898815631866455,762.262401342392
2,23.166508674621582,30.749501705169678,45.09900736808777,31.320889711380005,3.097318649291992,45.923861503601074,33.31068229675293,628.7570550441742
3,18.447617053985596,25.631795167922974,42.38914442062378,29.243701934814453,1.6104867458343506,48.62122464179993,27.89943790435791,382.2008020877838
4,19.020077228546143,25.602552890777588,42.10228657722473,58.469741106033325,1.3846848011016846,46.643009185791016,26.62588095664978,658.9888231754303
5,17.052403450012207,25.353646755218506,46.02190375328064,27.648502349853516,1.7910981178283691,41.91580533981323,32.729748010635376,126.55592393875122
6,18.07049322128296,29.923041105270386,47.87382626533508,28.130576610565186,3.583026170730591,42.861366510391235,31.628769636154175,3571.404754638672
7,17.394827842712402,27.666759252548218,46.197272539138794,26.692111253738403,1.682218074798584,41.44343113899231,27.031232833862305,2080.73534822464
8,22.782395839691162,28.090704441070557,43.11620545387268,116.7301299571991,1.5382661819458008,41.42219614982605,28.6258544921875,489.3587303161621
9,22.05174732208252,26.538418531417847,44.07481932640076,29.710866451263428,1.5953474044799805,49.084689140319824,30.18598985671997,1500.080144405365
