,MTaylor(with new sparse)
0,0.08042824792973292*x_0 - 0.09481911137715544*x_1 - 0.028257583266410462*x_10 + 0.0237547202663651*x_11 - 0.02750822200009702*x_12 + 0.05600918928652222*x_13 + 0.007644962925788017*x_14 - 0.05144510582258443*x_15 + 0.010441367149609776*x_16 + 0.03192167600806157*x_17 + 0.012092692675333559*x_18 - 0.031659161172541125*x_19 + 0.05812543869963125*x_2 - 0.006204368362949318*x_20 - 0.05449955139302006*x_21 - 0.018994058443219084*x_22 - 0.023356700017774998*x_23 - 0.033490797816411094*x_24 + 0.11266973217895261*x_25 + 0.008142626448148442*x_26 - 0.00930271215910255*x_27 - 0.06544747147735426*x_28 + 0.03752650371725305*x_29 - 0.022729607320484194*x_3 + 0.08737000846371762*x_30 + 0.012458626377491608*x_31 + 0.047290456470770695*x_32 + 0.0316075450008753*x_33 - 0.049468044268884945*x_34 + 0.007439123640628719*x_35 - 0.0619550523307561*x_36 + 0.02829526586073155*x_37 - 0.05732185966643521*x_38 - 0.07017529008835487*x_39 - 0.057177384316089847*x_4 - 0.00776666409435893*x_40 - 0.023150514960583093*x_41 - 0.030802325265818976*x_42 - 0.01638746760625089*x_43 + 0.0010935002885869467*x_44 + 0.04184723893026494*x_45 + 0.006787643251057969*x_46 - 0.046710122324716274*x_47 - 0.06092511987035263*x_48 + 0.06296829591751504*x_49 - 0.18185036239765281*x_5 + 0.15026854677297877*x_6 + 0.04371206695120787*x_7 + 0.01926359376802791*x_8 + 0.040254227755872736*x_9 - 0.018544713757526855
1,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
2,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
3,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
4,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
5,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
6,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
7,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
8,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
9,-0.13823538971482244*x_0 + 0.10656695400590518*x_1 - 0.007540973724098976*x_10 + 0.0014009946325307145*x_11 - 0.03203820398771138*x_12 - 0.05135303363472705*x_13 - 0.06351810750770545*x_14 - 0.019821653282812178*x_15 - 0.06220377940475037*x_16 + 0.09548627226514228*x_17 - 0.026245074811561624*x_18 - 0.016470599045727334*x_19 - 0.11482878741061943*x_2 + 0.05035922476535637*x_20 + 0.03305771603172779*x_21 + 0.09161017042206182*x_22 + 0.04353908797479594*x_23 - 0.016153952771766088*x_24 - 0.022117966675492796*x_25 + 0.0011530677571745078*x_26 - 0.0497976134891617*x_27 + 0.01550305609156942*x_28 + 0.039545686459702356*x_29 - 0.022751930904744873*x_3 + 0.017133747995607636*x_30 - 0.04741443707345987*x_31 + 0.05892242983510512*x_32 + 0.01338586527585261*x_33 + 0.01440048768281404*x_34 + 0.014741812597304244*x_35 - 0.003767889179204677*x_36 + 0.041420373283301094*x_37 - 0.08016771283628102*x_38 - 0.0002948840742495254*x_39 + 0.16609182757203433*x_4 + 0.049309765859532104*x_40 + 0.05395862334657574*x_41 - 0.035482311357658676*x_42 - 0.059086567631660064*x_43 + 0.0416921887866314*x_44 + 0.00881809621147954*x_45 - 0.020824310281838065*x_46 + 0.0042701918898314095*x_47 + 0.06009710852506071*x_48 - 0.004055155656125921*x_49 + 0.06316442844126674*x_5 - 0.05905884119725206*x_6 - 0.04940923873412791*x_7 + 0.044958231287347376*x_8 - 0.036897518486581*x_9 - 0.012361274785540001
