"",KeplarBingo,Bingo,Gplearn,KeplarMBingo,Operon,BingoCPP,KeplarBingoCPP,GpBingo
0,0.09482066493865636,0.08531919172249404,0.13391910143821234,0.08489977909010289,0.010298691689968109,0.09680457025843259,0.11511460482799006,0.07369721740936676
1,0.10800727683852128,0.09962078518724628,0.10230094114946782,0.08681782250712593,0.049227673560380936,0.07706338077034615,0.11851444240421392,0.044298597620941745
2,0.10741649316519018,0.0874555666905938,0.0865225526443611,0.09675389475300639,0.00845976173877716,0.09949338331836349,0.11665982499962678,0.05548792096494937
3,0.12068218205983987,0.08415238403619771,0.13459858139818348,0.08315912605199328,0.02510053478181362,0.08178134056394222,0.11459177910694988,0.03379836110972397
4,0.1169229388853935,0.08718072975399467,0.10187915755273987,0.083353612454353,0.015847865492105484,0.08659810056849536,0.1153606212580583,0.05047206616898235
5,0.12170366015198386,0.07544774258937359,0.13351184434612484,0.08261200692210914,0.02778668887913227,0.09110918338110138,0.11989610516028146,0.059251351401595966
6,0.12329046413725085,0.08549106714744215,0.1272173579606943,0.0860713122679702,0.02862837351858616,0.08377038893896668,0.12193783207141358,0.001416819724713817
7,0.11750688261871421,0.08683358474518943,0.06409402682531536,0.08251899711950725,0.010249333456158638,0.07650146719176111,0.12438100848045812,0.009873420801389329
8,0.10800727683724441,0.0892506941900844,0.13268297848984642,0.08533994200050478,0.0064301928505301476,0.09303686577072698,0.11426804094553912,0.02682169401607059
9,0.11847364940600554,0.08580594622408999,0.10928838173983486,0.06011415852642151,0.005324007943272591,0.08500693160185847,0.10578703144160786,0.06139833354866808
