,MTaylor(with new sparse)
0,-0.01038410799521793*x_0 - 0.008873754633693285*x_1 - 0.10443992154440054*x_2 + 0.006790510303620851*x_3 + 0.10068566540336653*x_4 + 0.02680367465094874*x_5 + 0.04124352342082216*x_6 + 0.05319322065191455*x_7 - 0.041274655329062916*x_8 + 0.06452437097200364*x_9 - 0.005536632851680765
1,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
2,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
3,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
4,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
5,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
6,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
7,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
8,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
9,0.13029541899342453*x_0 - 0.08818093301376542*x_1 - 0.19029641181516635*x_2 + 0.04246752142560827*x_3 + 0.09807453292658358*x_4 - 0.01783670737581937*x_5 + 0.01836982075149878*x_6 + 0.020718752276961995*x_7 + 0.01981657375864788*x_8 + 0.05083285384790012*x_9 - 0.0008829465956779478
