,MTaylor(with new sparse)
0,-0.0008570024887633521*x_0 - 0.026519099893249232*x_1 - 0.009662616783242541*x_2 - 0.05216591576458538*x_3 - 0.030814704496763948
1,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
2,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
3,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
4,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
5,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
6,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
7,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
8,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
9,-0.07331534737714414*x_0 + 0.027535509154647708*x_1 + 0.0546612131039853*x_2 + 0.03430173868921636*x_3 - 0.026817688848582676
