,MTaylor(with new sparse)
0,0.3590595989790527*x_0 - 0.27274224048491535*x_1 - 0.0886722472240437*x_10 - 0.025049833478830944*x_11 - 0.06361534560089774*x_12 + 0.05680632588530591*x_13 - 0.005248292172637842*x_14 - 0.12607298661968372*x_15 - 0.07428088840225937*x_16 + 0.04546519508206722*x_17 - 0.008231114801602176*x_18 + 0.028022265874758912*x_19 - 0.2115342575299787*x_2 + 0.001766073418130305*x_20 - 0.035870010719884965*x_21 - 0.08393182219531742*x_22 - 0.06872337334776464*x_23 + 0.06953883965325526*x_24 + 0.004604413808634026*x_3 + 0.003623902163193964*x_4 + 0.00599324048407962*x_5 + 0.01212812627952496*x_6 + 0.08654475018568404*x_7 - 0.08059862508389057*x_8 + 0.04665385677314784*x_9 + 0.08911540287082423
1,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
2,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
3,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
4,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
5,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
6,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
7,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
8,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
9,-0.5956956577039197*x_0 + 0.4968849788967711*x_1 + 0.08801025146634396*x_10 + 0.015556702365644447*x_11 - 0.052817036889411584*x_12 - 0.09411462965732785*x_13 + 0.0254120930190017*x_14 + 0.006670806011053671*x_15 - 0.051001629583974604*x_16 - 0.010002771145413685*x_17 - 0.016455224107783037*x_18 + 0.06678034065607202*x_19 + 0.28623815248496304*x_2 - 0.019887449978651942*x_20 - 0.08663401987014345*x_21 + 0.058382387999312745*x_22 - 0.06963577103028157*x_23 - 0.029123523675207964*x_24 + 0.0006349251285475377*x_3 - 0.08557701498912358*x_4 - 0.0003835127671226385*x_5 - 0.054836401290668975*x_6 + 0.028621645727467452*x_7 + 0.05660834119875212*x_8 - 0.05661689416550699*x_9 + 0.06712694456994787
