,Bingo,Gplearn,BingoCPP,KeplarBIngoCPP,KeplarBingo,Operon
0,0.14379861167089697,0.17715154331596633,0.16061325105119917,0.17290129776567625,0.17266933568107865,0.050870951265096664
1,0.16061325105119958,0.17715154334741323,0.16061325105119914,0.17340470545092612,0.16473233465264905,0.03129380941390991
2,0.16061325105119925,0.1771515433159078,0.14853761227519896,0.16071460509520336,0.17096494420789884,0.02061561495065689
3,0.1606132510511592,0.1771515433159078,0.14379861167089691,0.1703182602076986,0.17453052559582538,0.05152037739753723
4,0.16088611980355566,0.1771515433159078,0.1606132510511991,0.17380252548298702,0.17031825971813702,0.013825565576553345
5,0.1606132510511992,0.1771515433159078,0.16088611980355563,0.16169903697893778,0.16049813526722723,0.06376775354146957
6,2.5924747857559187,0.1771515433159078,0.14379861167089694,0.1769544279012621,0.1675251789627878,0.016739262267947197
7,0.16061156631979173,0.177151543315911,0.16061325105119917,0.17096381745343758,0.1742833920093707,0.02696000225841999
8,0.1605504519283,0.1771515433159078,0.155690369821456,0.172219398445083,0.1608861198035557,0.04546229913830757
9,0.16061325105150404,0.17715154331590782,0.14379861167089694,0.17232500272127452,0.16408534595040983,0.043312784284353256
