,MTaylor(with new sparse)
0,5259.169806003571
1,4964.514981269836
2,4918.09535908699
3,5163.024798870087
4,5139.262677431107
5,5052.39391541481
6,5058.706719875336
7,5091.070100545883
8,5104.37926697731
9,5167.9782292842865
