BestFit,WorstFit,MeanFit,Longest,shortest,MeanLength,SelectedLable
2.571774959564209,3.4028234663852886e+38,1.8875036415105898e+38,50,1,17.171875,1
0.0,4.010287761688232,2.6758905481547117,50,1,17.171875,1
0.0,4.010287761688232,2.6924047954380512,50,1,17.171875,1
0.0,4.010287761688232,2.6959310304373503,50,1,17.171875,1
0.0,4.010287761688232,2.661577772349119,50,1,17.171875,1
0.0,4.010287761688232,2.708538442850113,50,1,17.171875,1
0.0,4.010287761688232,2.686764173209667,50,1,17.171875,1
0.0,4.010287761688232,2.644512439146638,50,1,17.171875,1
0.0,4.010287761688232,2.6828668024390936,50,1,17.171875,1
0.0,4.010287761688232,2.695664294064045,50,1,17.171875,1
0.0,4.010287761688232,2.672141518443823,50,1,17.171875,1
0.0,4.010287761688232,2.705893574282527,50,1,17.171875,1
0.0,4.010287761688232,2.7153993137180805,50,1,17.171875,1
0.0,4.010287761688232,2.681059166789055,50,1,17.171875,1
0.0,4.010287761688232,2.657321134582162,50,1,17.171875,1
0.0,4.010287761688232,2.7084423694759607,50,1,17.171875,1
0.0,4.010287761688232,2.6772104427218437,50,1,17.171875,1
0.0,4.010287761688232,2.6728895343840122,50,1,17.171875,1
0.0,4.010287761688232,2.6702034790068865,50,1,17.171875,1
0.0,4.010287761688232,2.6895519141107798,50,1,17.171875,1
0.0,4.010287761688232,2.700224271044135,50,1,17.171875,1
0.0,4.010287761688232,2.6646027080714703,50,1,17.171875,1
0.0,4.010287761688232,2.675888430327177,50,1,17.171875,1
0.0,4.010287761688232,2.6779126189649105,50,1,17.171875,1
0.0,4.010287761688232,2.6758954133838415,50,1,17.171875,1
0.0,4.010287761688232,2.7016008496284485,50,1,17.171875,1
0.0,4.010287761688232,2.6631314624100924,50,1,17.171875,1
0.0,4.010287761688232,2.6604395285248756,50,1,17.171875,1
0.0,4.010287761688232,2.7111242450773716,50,1,17.171875,1
0.0,4.010287761688232,2.684115696698427,50,1,17.171875,1
0.0,4.010287761688232,2.668884666636586,50,1,17.171875,1
0.0,4.010287761688232,2.6695218328386545,50,1,17.171875,1
