BestFit,WorstFit,MeanFit,Longest,shortest,MeanLength,SelectedLable
0.6433112621307373,3.4028234663852886e+38,1.595073499868104e+38,50,1,17.78125,3
0.0,1.4909228086471558,1.1324518881738186,50,1,17.78125,1
0.0,1.4909228086471558,1.1395146800205112,50,1,17.78125,3
0.0,1.4909228086471558,1.147441848181188,50,1,17.78125,3
0.0,1.4909228086471558,1.1598235880956054,50,1,17.78125,1
0.0,1.4909228086471558,1.1358517399057746,50,1,17.78125,3
0.0,1.4909228086471558,1.156015906482935,50,1,17.78125,3
0.0,1.4909228086471558,1.1406718725338578,50,1,17.78125,3
0.0,1.4909228086471558,1.1203910000622272,50,1,17.78125,3
0.0,1.4909228086471558,1.1214932510629296,50,1,17.78125,3
0.0,1.4909228086471558,1.1447020657360554,50,1,17.78125,3
0.0,1.4909228086471558,1.1365052945911884,50,1,17.78125,3
0.0,1.4909228086471558,1.1276984047144651,50,1,17.78125,3
0.0,1.4909228086471558,1.1133521990850568,50,1,17.78125,3
0.0,1.4909228086471558,1.1475123381242156,50,1,17.78125,3
0.0,1.4909228086471558,1.1322031999006867,50,1,17.78125,3
0.0,1.4909228086471558,1.1528701670467854,50,1,17.78125,3
0.0,1.4909228086471558,1.1365044172853231,50,1,17.78125,3
0.0,1.4909228086471558,1.135939502157271,50,1,17.78125,3
0.0,1.4909228086471558,1.1205060854554176,50,1,17.78125,3
0.0,1.4909228086471558,1.1290239496156573,50,1,17.78125,3
0.0,1.4909228086471558,1.1173504805192351,50,1,17.78125,3
0.0,1.4909228086471558,1.1482083573937416,50,1,17.78125,3
0.0,1.4909228086471558,1.1403514202684164,50,1,17.78125,1
0.0,1.4909228086471558,1.1367433303967118,50,1,17.78125,3
0.0,1.4909228086471558,1.121393509209156,50,1,17.78125,3
0.0,1.4909228086471558,1.124621419236064,50,1,17.78125,1
0.0,1.4909228086471558,1.179475650191307,50,1,17.78125,1
0.0,1.4909228086471558,1.1174771273508668,50,1,17.78125,3
0.0,1.4909228086471558,1.148288075812161,50,1,17.78125,3
0.0,1.4909228086471558,1.1592774232849479,50,1,17.78125,3
0.0,1.4909228086471558,1.1206505196169019,50,1,17.78125,3
0.0,1.4909228086471558,1.1529770446941257,50,1,17.78125,3
0.0,1.4909228086471558,1.1521990466862917,50,1,17.78125,3
0.0,1.4909228086471558,1.1292182058095932,50,1,17.78125,3
0.0,1.4909228086471558,1.1286078495904803,50,1,17.78125,1
0.0,1.4909228086471558,1.1835643323138356,50,1,17.78125,3
0.0,1.4909228086471558,1.1566255139186978,50,1,17.78125,3
0.0,1.4909228086471558,1.1321097686886787,50,1,17.78125,3
0.0,1.4909228086471558,1.128614442422986,50,1,17.78125,1
0.0,1.4909228086471558,1.152300801128149,50,1,17.78125,3
0.0,1.4909228086471558,1.1491570742800832,50,1,17.78125,3
0.0,1.4909228086471558,1.156225255690515,50,1,17.78125,3
0.0,1.4909228086471558,1.139746641740203,50,1,17.78125,3
0.0,1.4909228086471558,1.1408786531537771,50,1,17.78125,1
0.0,1.4909228086471558,1.140618004836142,50,1,17.78125,3
0.0,1.4909228086471558,1.124862501397729,50,1,17.78125,1
0.0,1.4909228086471558,1.1443805238232017,50,1,17.78125,3
0.0,1.4909228086471558,1.1449547046795487,50,1,17.78125,1
0.0,1.4909228086471558,1.1448926655575633,50,1,17.78125,3
0.0,1.4909228086471558,1.168010131455958,50,1,17.78125,3
0.0,1.4909228086471558,1.1239497931674123,50,1,17.78125,3
0.0,1.4909228086471558,1.1240420509129763,50,1,17.78125,3
0.0,1.4909228086471558,1.1322083873674273,50,1,17.78125,3
0.0,1.4909228086471558,1.1523811994120479,50,1,17.78125,3
0.0,1.4909228086471558,1.1674352046102285,50,1,17.78125,3
0.0,1.4909228086471558,1.1678687371313572,50,1,17.78125,3
0.0,1.4909228086471558,1.1298880483955145,50,1,17.78125,1
0.0,1.4909228086471558,1.1326490202918649,50,1,17.78125,3
0.0,1.4909228086471558,1.1401535011827946,50,1,17.78125,1
0.0,1.4909228086471558,1.140324984677136,50,1,17.78125,3
0.0,1.4909228086471558,1.1396317509934306,50,1,17.78125,3
0.0,1.4909228086471558,1.1331715574488044,50,1,17.78125,1
0.0,1.4909228086471558,1.1527091320604086,50,1,17.78125,3
0.0,1.4909228086471558,1.1442311936989427,50,1,17.78125,3
0.0,1.4909228086471558,1.1397445648908615,50,1,17.78125,1
0.0,1.4909228086471558,1.104609570465982,50,1,17.78125,3
0.0,1.4909228086471558,1.1161083672195673,50,1,17.78125,1
0.0,1.4909228086471558,1.1594311781227589,50,1,17.78125,3
0.0,1.4909228086471558,1.1320298565551639,50,1,17.78125,3
0.0,1.4909228086471558,1.1131183095276356,50,1,17.78125,3
0.0,1.4909228086471558,1.140943480655551,50,1,17.78125,3
0.0,1.4909228086471558,1.1094349473714828,50,1,17.78125,3
0.0,1.4909228086471558,1.1318823117762804,50,1,17.78125,3
0.0,1.4909228086471558,1.1670242613181472,50,1,17.78125,3
0.0,1.4909228086471558,1.1138404933735728,50,1,17.78125,3
0.0,1.4909228086471558,1.1636611092835665,50,1,17.78125,3
0.0,1.4909228086471558,1.1484335465356708,50,1,17.78125,3
0.0,1.4909228086471558,1.1516114687547088,50,1,17.78125,3
0.0,1.4909228086471558,1.1293244790285826,50,1,17.78125,3
0.0,1.4909228086471558,1.1368295093998313,50,1,17.78125,3
0.0,1.4909228086471558,1.1400378169491887,50,1,17.78125,3
0.0,1.4909228086471558,1.1052696397528052,50,1,17.78125,3
0.0,1.4909228086471558,1.1404390940442681,50,1,17.78125,3
