,MTaylor(with new sparse)
0,0.05629876398975006*x_0 - 0.1148714988087311*x_1 + 0.03333661424209045*x_10 + 0.03174948547575627*x_11 + 0.13198769109161215*x_12 + 0.08472343388538134*x_13 - 0.10348186807948431*x_14 + 0.03485548914455969*x_2 - 0.16979697243216807*x_3 + 0.42958825659539357*x_4 - 0.026234429405472895*x_5 + 0.4840099737863979*x_6 + 0.14576335696985027*x_7 - 0.059599955730056504*x_8 - 0.03469710319634366*x_9 - 0.004226943717308335
,MTaylor(with new sparse)
0,-0.04360765791184861*x_0 + 0.1591283990481343*x_1 - 0.3699299139602208*x_10 - 0.22027888059218986*x_11 - 0.050904917944899805*x_12 + 0.23870998379186717*x_13 - 0.015516356283070142*x_14 - 0.08231465161659339*x_2 - 0.12645285768186337*x_3 + 0.16770373419575463*x_4 + 0.1112703188190759*x_5 + 0.24621707892025635*x_6 - 0.0042822202272332615*x_7 - 0.003797710456978555*x_8 + 0.020907093125246228*x_9 + 2.0544902818015646e-16
