,MTaylor(with new sparse)
0,-0.013404242512053905*x_0 + 0.002537113194585356*x_1 + 0.010928085093361281
1,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
2,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
3,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
4,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
5,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
6,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
7,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
8,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
9,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
10,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
11,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
12,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
13,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
14,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
15,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
16,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
17,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
18,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
19,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
20,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
21,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
22,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
23,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
24,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
25,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
26,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
27,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
28,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
29,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
,MTaylor(with new sparse)
0,-0.040790962655640736*x_0 + 0.06654973186825394*x_1 + 0.011474403978634966
1,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
2,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
3,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
4,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
5,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
6,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
7,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
8,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
9,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
10,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
11,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
12,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
13,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
14,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
15,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
16,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
17,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
18,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
19,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
20,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
21,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
22,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
23,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
24,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
25,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
26,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
27,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
28,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
29,-0.035991072052276196*x_0 - 0.014687819152555426*x_1 + 0.010724692455599094
