,MTaylor
0,0.004805435426533222
1,0.00012878436245955527
2,0.00022210799215827137
3,0.00022210799215827137
4,0.0040037976577878
5,0.004805435426533222
6,0.002458835719153285
7,0.002458835719153285
8,0.004831552505493164
9,0.00282368715852499
