,MTaylor(with new sparse)
0,9.80665*x_0*x_1 - 9.992007221626409e-16*x_0 + 1.708702623837155e-16*x_1 + 1.0148132334464322e-16
1,9.806650000000067*x_0*x_1 + 1.665334536937735e-15*x_0 - 1.4662750180693962e-15*x_1 + 1.1427490897997217e-16
2,9.806650000000003*x_0*x_1 - 1.554312234475219e-15*x_0 - 2.701831813833877e-16*x_1 + 1.0950441942103595e-16
3,9.806649999999975*x_0*x_1 - 2.997602166487923e-15*x_0 - 8.4784609888366447e-16*x_1 + 9.6298836960162504e-16
4,9.806650000000001*x_0*x_1 + 1.332267629550188e-15*x_0 + 5.1087606367516969e-16*x_1 + 2.1033522146218786e-17
5,9.80665*x_0*x_1 - 9.992007221626409e-16*x_0 + 2.4242760576775879e-16*x_1 + 9.1072982488782372e-17
6,9.806650000000007*x_0*x_1 + 6.661338147750939e-16*x_0 - 1.281093287008872e-15*x_1 - 1.6935237934223579e-16
7,9.806649999999994*x_0*x_1 + 1.443289932012704e-15*x_0 + 8.6302492929846153e-17*x_1 - 1.960237527853792e-16
8,9.806650000000001*x_0*x_1 + 3.33066907387547e-16*x_0 - 7.9363599025938925e-16*x_1 - 1.9298798670241979e-17
9,9.80665*x_0*x_1 - 9.992007221626409e-16*x_0 + 4.0202216555762504e-16*x_1 + 7.2641545556528797e-17
10,9.80665*x_0*x_1 + 7.4202796684907923e-16*x_1 - 1.0993810029003015e-16
11,9.806650000000015*x_0*x_1 - 5.0653925498522767e-16*x_0 - 1.3548190347378863e-15*x_1 + 5.6812193838240432e-17
12,9.806649999999994*x_0*x_1 + 4.440892098500626e-16*x_0 + 2.8462475432089462e-15*x_1 + 5.5727991665754928e-17
13,9.806650000000001*x_0*x_1 - 6.661338147750939e-16*x_0 - 4.0332320816460765e-17*x_1 + 4.0549161250957866e-17
14,9.806650000000001*x_0*x_1 - 1.665334536937735e-15*x_0 + 6.9822619908066486e-17*x_1 + 1.1666015375944028e-16
15,9.806649999999998*x_0*x_1 + 6.661338147750939e-16*x_0 + 4.5536491244391186e-16*x_1 - 8.1380215066761963e-16
16,9.806649999999946*x_0*x_1 + 3.33066907387547e-16*x_0 + 2.0491421059976034e-15*x_1 + 3.8163916471489756e-17
17,9.806649999999989*x_0*x_1 + 2.775557561562891e-15*x_0 + 8.808058449272238e-16*x_1 - 1.9342166757141399e-16
18,9.806649999999985*x_0*x_1 - 1.443289932012704e-15*x_0 + 1.7113047090511202e-15*x_1 + 2.1597307275911248e-16
19,9.806649999999937*x_0*x_1 + 1.110223024625157e-15*x_0 + 3.5761324457261878e-15*x_1 + 2.7495367094232392e-16
20,9.806649999999994*x_0*x_1 + 4.440892098500626e-16*x_0 + 2.3592239273284576e-16*x_1 - 1.6479873021779667e-17
21,9.80665000000002*x_0*x_1 - 6.550315845288424e-15*x_0 - 2.1831494945168117e-15*x_1 + 8.6757857842290065e-16
22,9.806649999999994*x_0*x_1 - 5.551115123125783e-16*x_0 + 3.4863605058443881e-15*x_1 + 2.3852447794681098e-18
23,9.806649999999864*x_0*x_1 - 2.886579864025407e-15*x_0 + 7.5061484805516443e-15*x_1 + 1.6371452804531117e-16
24,9.806650000002668*x_0*x_1 + 3.674838211509268e-14*x_0 - 1.0979021511370313e-13*x_1 + 2.5320457536226471e-14
25,9.80665*x_0*x_1 + 7.3725747729014302e-17*x_1 - 1.0191500421363742e-17
26,9.806649999999992*x_0*x_1 + 3.33066907387547e-16*x_0 + 4.9162063309182713e-15*x_1 + 2.3440450969136606e-16
27,9.806649999999935*x_0*x_1 + 1.998401444325282e-15*x_0 + 1.9553369340341575e-14*x_1 - 4.2609145378680324e-16
28,9.806650000000001*x_0*x_1 - 6.661338147750939e-16*x_0 + 3.0964814046186007e-16*x_1 + 3.5128150388530344e-17
29,9.806650000000001*x_0*x_1 - 6.661338147750939e-16*x_0 - 1.8995222061946038e-16*x_1 + 1.7780915628762273e-16
