,MTaylor(with new sparse)
0,0.09809839712221949*x_0 - 0.0004844180215269595*x_1 + 0.0002713437545092812
1,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
2,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
3,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
4,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
5,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
6,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
7,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
8,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
9,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
10,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
11,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
12,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
13,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
14,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
15,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
16,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
17,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
18,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
19,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
20,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
21,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
22,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
23,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
24,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
25,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
26,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
27,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
28,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
29,0.09809839712221947*x_0 - 0.0004844180215269596*x_1 + 0.0002713437545092812
