,MTaylor(with new sparse)
0,-2.412199037191269e-26*x_0 + 1.9437538782938328e-28*x_1 - 1.2232350141544354e-27
1,-2.412199037191266e-26*x_0 + 1.9437538782938382e-28*x_1 - 1.2232350141544372e-27
2,-2.4121990371912627e-26*x_0 + 1.9437538782938362e-28*x_1 - 1.2232350141544365e-27
3,-2.4121990371912636e-26*x_0 + 1.9437538782938373e-28*x_1 - 1.2232350141544368e-27
4,-2.4121990371912676e-26*x_0 + 1.9437538782938353e-28*x_1 - 1.2232350141544365e-27
5,-2.4121990371912645e-26*x_0 + 1.943753878293836e-28*x_1 - 1.2232350141544365e-27
6,-2.412199037191278e-26*x_0 + 1.943753878293837e-28*x_1 - 1.2232350141544368e-27
7,-2.412199037191267e-26*x_0 + 1.9437538782938384e-28*x_1 - 1.2232350141544374e-27
8,-2.412199037191268e-26*x_0 + 1.9437538782938324e-28*x_1 - 1.223235014154435e-27
9,-2.4121990371912676e-26*x_0 + 1.943753878293834e-28*x_1 - 1.2232350141544358e-27
10,-2.412199037191266e-26*x_0 + 1.9437538782938378e-28*x_1 - 1.223235014154437e-27
11,-2.412199037191266e-26*x_0 + 1.943753878293836e-28*x_1 - 1.2232350141544365e-27
12,-2.412199037191269e-26*x_0 + 1.9437538782938324e-28*x_1 - 1.2232350141544358e-27
13,-2.4121990371912633e-26*x_0 + 1.9437538782938382e-28*x_1 - 1.2232350141544368e-27
14,-2.412199037191261e-26*x_0 + 1.9437538782938382e-28*x_1 - 1.223235014154437e-27
15,-2.4121990371912645e-26*x_0 + 1.9437538782938342e-28*x_1 - 1.223235014154436e-27
16,-2.4121990371912607e-26*x_0 + 1.943753878293841e-28*x_1 - 1.2232350141544379e-27
17,-2.4121990371912645e-26*x_0 + 1.9437538782938272e-28*x_1 - 1.2232350141544338e-27
18,-2.412199037191269e-26*x_0 + 1.9437538782938302e-28*x_1 - 1.2232350141544347e-27
19,-2.412199037191267e-26*x_0 + 1.9437538782938337e-28*x_1 - 1.223235014154436e-27
20,-2.4121990371912645e-26*x_0 + 1.943753878293834e-28*x_1 - 1.2232350141544354e-27
21,-2.4121990371912685e-26*x_0 + 1.9437538782938342e-28*x_1 - 1.2232350141544361e-27
22,-2.4121990371912627e-26*x_0 + 1.9437538782938384e-28*x_1 - 1.2232350141544372e-27
23,-2.412199037191264e-26*x_0 + 1.9437538782938378e-28*x_1 - 1.2232350141544368e-27
24,-2.4121990371912685e-26*x_0 + 1.9437538782938297e-28*x_1 - 1.2232350141544347e-27
25,-2.4121990371912708e-26*x_0 + 1.9437538782938315e-28*x_1 - 1.2232350141544354e-27
26,-2.412199037191266e-26*x_0 + 1.9437538782938304e-28*x_1 - 1.2232350141544347e-27
27,-2.4121990371912702e-26*x_0 + 1.9437538782938302e-28*x_1 - 1.2232350141544349e-27
28,-2.412199037191261e-26*x_0 + 1.943753878293836e-28*x_1 - 1.2232350141544363e-27
29,-2.412199037191264e-26*x_0 + 1.943753878293834e-28*x_1 - 1.2232350141544361e-27
