,MTaylor
0,0.02768172137439251
1,0.028520818799734116
2,0.017412733286619186
3,0.028520818799734116
4,0.017412733286619186
5,0.028520818799734116
6,0.017412733286619186
7,0.0035520605742931366
8,0.029077328741550446
9,0.028520818799734116
