,MTaylor(with new sparse)
0,7.430740594863892
1,7.3116536140441895
2,7.3235602378845215
3,7.550280570983887
4,7.836093902587891
5,7.482897043228149
6,7.582420825958252
7,7.59217095375061
8,7.268385410308838
9,7.4264442920684814
10,7.784226417541504
11,8.094629526138306
12,6.783628463745117
13,7.615631580352783
14,7.365098237991333
15,7.382095098495483
16,7.340548038482666
17,7.53671669960022
18,7.452449083328247
19,7.603948354721069
20,7.425668954849243
21,7.319899082183838
22,7.332473993301392
23,7.561199188232422
24,7.290733575820923
25,7.407528877258301
26,7.261280536651611
27,7.358795404434204
28,7.304477691650391
29,7.162319898605347
