,MTaylor(with new sparse)
0,-148406094872.176
1,-148406094872.17612
2,-148406094872.17612
3,-148406094872.176
4,-148406094872.17627
5,-148406094872.17612
6,-148406094872.1762
7,-148406094872.176
8,-148406094872.176
9,-148406094872.1762
10,-148406094872.17606
11,-148406094872.1763
12,-148406094872.17627
13,-148406094872.17615
14,-148406094872.176
15,-148406094872.17606
16,-148406094872.1762
17,-148406094872.17615
18,-148406094872.17615
19,-148406094872.17606
20,-148406094872.1763
21,-148406094872.1762
22,-148406094872.17606
23,-148406094872.176
24,-148406094872.17612
25,-148406094872.17615
26,-148406094872.17636
27,-148406094872.17612
28,-148406094872.17627
29,-148406094872.17615
