,MTaylor(with new sparse)
0,-0.03015526515049362*x_0 + 0.060269749750818426*x_1 - 0.2010909180925364
1,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
2,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
3,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
4,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
5,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
6,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
7,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
8,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
9,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
10,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
11,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
12,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
13,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
14,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
15,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
16,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
17,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
18,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
19,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
20,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
21,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
22,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
23,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
24,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
25,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
26,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
27,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
28,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
29,-0.11068286301544845*x_0 + 0.176301881550007*x_1 - 0.389965576780816
