,MTaylor(with new sparse)
0,-2.353823332104793e-14*x_0 - 3.713843074595156e-12*x_1 + 1.8397454710320817e-13
1,-2.353823332104787e-14*x_0 - 3.713843074595156e-12*x_1 + 1.8397454710320817e-13
2,-2.353823332104806e-14*x_0 - 3.7138430745951545e-12*x_1 + 1.8397454710320812e-13
3,-2.3538233321047957e-14*x_0 - 3.713843074595147e-12*x_1 + 1.8397454710320797e-13
4,-2.3538233321047966e-14*x_0 - 3.713843074595158e-12*x_1 + 1.8397454710320822e-13
5,-2.353823332104789e-14*x_0 - 3.713843074595158e-12*x_1 + 1.8397454710320822e-13
6,-2.353823332104801e-14*x_0 - 3.713843074595152e-12*x_1 + 1.839745471032081e-13
7,-2.3538233321047906e-14*x_0 - 3.71384307459516e-12*x_1 + 1.8397454710320832e-13
8,-2.35382333210479e-14*x_0 - 3.7138430745951504e-12*x_1 + 1.83974547103208e-13
9,-2.3538233321047976e-14*x_0 - 3.713843074595152e-12*x_1 + 1.8397454710320807e-13
10,-2.3538233321047837e-14*x_0 - 3.7138430745951585e-12*x_1 + 1.8397454710320822e-13
11,-2.3538233321047938e-14*x_0 - 3.713843074595158e-12*x_1 + 1.8397454710320817e-13
12,-2.3538233321047853e-14*x_0 - 3.713843074595155e-12*x_1 + 1.8397454710320814e-13
13,-2.3538233321047935e-14*x_0 - 3.713843074595151e-12*x_1 + 1.8397454710320807e-13
14,-2.3538233321047925e-14*x_0 - 3.713843074595154e-12*x_1 + 1.8397454710320812e-13
15,-2.353823332104793e-14*x_0 - 3.713843074595154e-12*x_1 + 1.8397454710320812e-13
16,-2.3538233321047922e-14*x_0 - 3.7138430745951504e-12*x_1 + 1.8397454710320802e-13
17,-2.353823332104787e-14*x_0 - 3.713843074595154e-12*x_1 + 1.8397454710320812e-13
18,-2.3538233321047862e-14*x_0 - 3.713843074595154e-12*x_1 + 1.8397454710320812e-13
19,-2.3538233321047903e-14*x_0 - 3.713843074595154e-12*x_1 + 1.8397454710320812e-13
20,-2.353823332104798e-14*x_0 - 3.713843074595151e-12*x_1 + 1.8397454710320807e-13
21,-2.3538233321047916e-14*x_0 - 3.7138430745951504e-12*x_1 + 1.83974547103208e-13
22,-2.3538233321047932e-14*x_0 - 3.713843074595153e-12*x_1 + 1.8397454710320812e-13
23,-2.3538233321047916e-14*x_0 - 3.713843074595155e-12*x_1 + 1.8397454710320812e-13
24,-2.3538233321047988e-14*x_0 - 3.713843074595156e-12*x_1 + 1.8397454710320817e-13
25,-2.353823332104795e-14*x_0 - 3.7138430745951504e-12*x_1 + 1.8397454710320807e-13
26,-2.3538233321047897e-14*x_0 - 3.713843074595155e-12*x_1 + 1.8397454710320817e-13
27,-2.3538233321047827e-14*x_0 - 3.7138430745951585e-12*x_1 + 1.8397454710320824e-13
28,-2.353823332104801e-14*x_0 - 3.713843074595157e-12*x_1 + 1.8397454710320814e-13
29,-2.3538233321047988e-14*x_0 - 3.7138430745951585e-12*x_1 + 1.8397454710320824e-13
