,MTaylor(with new sparse)
0,162.15573406219482
1,153.34168481826782
2,162.57020902633667
3,157.5571882724762
4,142.5614674091339
5,142.5694179534912
6,160.56762075424194
7,156.0656018257141
8,150.69768524169922
9,138.20469570159912
10,147.490816116333
11,145.38320803642273
12,145.49814772605896
13,141.63416624069214
14,151.72161149978638
15,143.20945954322815
16,150.0762209892273
17,145.22962856292725
18,146.83121013641357
19,141.70651125907898
20,145.75177216529846
21,160.914457321167
22,154.1441547870636
23,153.68140602111816
24,145.816819190979
25,154.81743597984314
26,150.7198507785797
27,153.77061867713928
28,148.4345498085022
29,147.70231437683105
0,141.4818058013916
1,140.25394701957703
2,142.51350951194763
3,135.81173419952393
4,134.4376096725464
5,131.87244725227356
6,135.30526685714722
7,135.1445255279541
8,132.53962326049805
9,132.79265785217285
10,135.05998945236206
11,136.04022097587585
12,129.34920287132263
13,131.11825394630432
14,131.62062573432922
15,131.88080763816833
16,132.56825065612793
17,131.1473207473755
18,135.1187241077423
19,134.2394552230835
20,130.1129069328308
21,138.04578614234924
22,136.31933093070984
23,133.25934672355652
24,134.69517970085144
25,134.18715047836304
26,135.1177659034729
27,133.71488070487976
28,130.59540009498596
29,135.37542080879211
