,MTaylor(with new sparse)
0,366630530.5188565*x_0 - 2507.585087366343*x_1 - 17763380.281658806
1,404619672.90550417*x_0 + 513473.6853802942*x_1 - 28832489.577676468
2,-102708467.65931451*x_0 + 20484.796574976168*x_1 - 18493302.165706802
3,128387818.93559597*x_0 - 16023.681976979644*x_1 - 17621656.961918596
4,-78528852.19908608*x_0 - 83049.56378449047*x_1 - 16283713.560553377
5,378353269.65605927*x_0 + 6215.9176051409595*x_1 - 18002281.191729147
6,-106694460.39585333*x_0 + 686352.2244321276*x_1 - 33027787.777273104
7,168650480.40996924*x_0 + 745085.6968756818*x_1 - 33946763.58087673
8,-347292668.09043884*x_0 - 155630.5739953043*x_1 - 14876812.422333708
9,-365129216.85786164*x_0 - 466097.7794444845*x_1 - 8212202.392724384
