,MTaylor(zjw)
0,2.064351689243594e-08
1,2.0643516866706383e-08
2,2.0643516885173455e-08
3,2.0643516878230485e-08
4,2.0643516863172506e-08
5,2.06435168805693e-08
6,2.064351687420817e-08
7,2.064351686839455e-08
8,2.0643516876338964e-08
9,2.064351688313529e-08
