,Taylor(with new sparse)
0,0.025626675287882487
1,0.026437640322579278
2,0.025664166940583124
3,0.02703345603413052
4,0.02534945613808102
5,0.02571330832110511
6,0.02702511297331916
7,0.028005801969104342
8,0.026386471258269414
9,0.026219897402657403
