,Taylor(with new sparse)
0,-0.015691196769098418*x0 + 3847.123299701946*x1 + 1.5721938073757521e-6*x2 - 0.0004172734909920018*x3 - 7.3505357434627041e-7
1,0.12444938959711162*x0 - 1430.6750635701985*x1 + 5.384899086220521e-7*x2 + 1.7726051570112556e-5*x3 + 1.0192885998414207e-5
2,-0.03483116762181605*x0 - 14103.700120146259*x1 - 2.824182692736396e-6*x2 + 1.68278411351221e-5*x3 - 1.7806320130646026e-6
3,0.013395195100738378*x0 - 8934.091073037771*x1 + 9.80641018787669e-8*x2 - 0.0004196507400504999*x3 + 8.833558528643827e-7
4,0.18671532924197964*x0 + 50864.61222741621*x1 + 8.186900184402247e-6*x2 + 0.0013003637155929186*x3 + 6.4904742070035074e-6
5,-0.11646636111892028*x0 + 33391.43263414263*x1 - 2.909716889300264e-7*x2 - 9.93707359558354e-5*x3 + 3.9426562570685202e-6
6,0.1841511017598466*x0 + 2306.2944865266118*x1 + 3.1237509211708662e-6*x2 + 0.0009577204448173974*x3 + 2.710619473609256e-6
7,0.07467247594668155*x0 - 383.89962229448304*x1 + 1.1036166336144572e-6*x2 + 0.00020899377704177447*x3 + 2.5078872997775147e-6
8,0.009563498581167037*x0 + 12501.16804515058*x1 + 1.5504327572418876e-6*x2 + 0.00014165351946717863*x3 + 7.3542330852203341e-7
9,-0.028302078719903815*x0 + 266.2298748707897*x1 + 1.8364181517862005e-6*x2 - 2.5935316236415653e-5*x3 - 7.5094779095211557e-6
