,Taylor(with new sparse)
0,-2.044741631408438e-11*x0**4 - 1.6679189487956885e-10*x0**3*x1 + 5.182251622906234e-11*x0**3 + 1.2650766107098965e-10*x0**2*x1**2 + 2.4050183452575316e-11*x0**2*x1 - 1.5028526054382371e-11*x0**2 - 0.20970049814150793*x0*x1**3 + 0.41322094862258545*x0*x1**2 - 0.48729189891110058*x0*x1 + 0.49927323522777092*x0 + 0.0168766394232756*x1**4 - 0.016379270958573871*x1**3 + 0.005961210137829931*x1**2 - 0.00096425472682042524*x1 + 5.8489833836316844e-5
1,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
2,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
3,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
4,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
5,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
6,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
7,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
8,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
9,3.149539635894699e-12*x0**4 + 9.909416934340469e-11*x0**3*x1 - 2.648006933566976e-11*x0**3 - 4.396201874460628e-11*x0**2*x1**2 - 3.1210261393864741e-11*x0**2*x1 + 1.159254969090658e-11*x0**2 - 0.20970049876180805*x0*x1**3 + 0.41322094912788401*x0*x1**2 - 0.48729189901689016*x0*x1 + 0.49927323523209752*x0 + 0.016876640559338286*x1**4 - 0.016379271906390201*x1**3 + 0.0059612104212793512*x1**2 - 0.00096425476553500334*x1 + 5.848983616924168e-5
