,Taylor(with new sparse)
0,0.029517116679085624
1,0.03239247361818949
2,0.0318554988834593
3,0.03201028764247894
4,0.0302522740761439
5,0.0315671722094218
6,0.029421237640910678
7,0.03182681063810984
8,0.03225778427388933
9,0.03022426664829254
