,Taylor(with new sparse)
0,-69911.28722559608
1,-65378.44861645908
2,-93706.11333990637
3,-571494.10604708
4,-54377.093918422084
5,-75659.1721701734
6,-11719.783249179993
7,-60345.557392021416
8,-57406.82655594852
9,-45237.14736095188
